id,prompt,category,ground_truth,source_url,region,country,task_category,source_quality,evidence_tier
TR-NICHE-APT-0001,What is the IATA code for Moree Airport in Australia?,airport_logistics,MRZ,https://www.iata.org/,Australia,Australia,Niche-Verification,official,high
TR-NICHE-APT-0002,What is the IATA code for Moruya Airport in Australia?,airport_logistics,MYA,https://www.iata.org/,Australia,Australia,Niche-Verification,official,high
TR-NICHE-APT-0003,What is the IATA code for Mudgee Airport in Australia?,airport_logistics,DGE,https://www.iata.org/,Australia,Australia,Niche-Verification,official,high
TR-NICHE-APT-0004,What is the IATA code for Narrabri Airport in Australia?,airport_logistics,NAA,https://www.iata.org/,Australia,Australia,Niche-Verification,official,high
TR-NICHE-APT-0005,What is the IATA code for Scottsdale Airport in United States?,airport_logistics,SCF,https://www.iata.org/,United States,United States,Niche-Verification,official,high
TR-NICHE-APT-0006,What is the IATA code for Narrandera Airport in Australia?,airport_logistics,NRA,https://www.iata.org/,Australia,Australia,Niche-Verification,official,high
TR-NICHE-APT-0007,What is the IATA code for Narromine Airport in Australia?,airport_logistics,QRM,https://www.iata.org/,Australia,Australia,Niche-Verification,official,high
TR-NICHE-APT-0008,What is the IATA code for Newcastle Airport in Australia?,airport_logistics,NTL,https://www.iata.org/,Australia,Australia,Niche-Verification,official,high
TR-NICHE-APT-0009,What is the IATA code for Nyngan Airport in Australia?,airport_logistics,NYN,https://www.iata.org/,Australia,Australia,Niche-Verification,official,high
TR-NICHE-APT-0010,What is the IATA code for Orange Regional Airport in Australia?,airport_logistics,OAG,https://www.iata.org/,Australia,Australia,Niche-Verification,official,high
TR-NICHE-APT-0011,What is the IATA code for Parkes Regional Airport in Australia?,airport_logistics,PKE,https://www.iata.org/,Australia,Australia,Niche-Verification,official,high
TR-NICHE-APT-0012,What is the IATA code for Port Macquarie Airport in Australia?,airport_logistics,PQQ,https://www.iata.org/,Australia,Australia,Niche-Verification,official,high
TR-NICHE-APT-0013,What is the IATA code for Quirindi Airport in Australia?,airport_logistics,UIR,https://www.iata.org/,Australia,Australia,Niche-Verification,official,high
