id,prompt,category,ground_truth,source_url,region,country,task_category,source_quality,evidence_tier
TR-HAL-WD-0001,Is Prehistoric Rock-Art Site of the Côa Valley and Siega Verde in Spain a UNESCO World Heritage Site?,UNESCO_verification,Yes,https://whc.unesco.org/,Spain,Spain,Niche-Verification,official,high
TR-HAL-WD-0003,Is Bolgar Historical and Archaeological Complex in Russia a UNESCO World Heritage Site?,UNESCO_verification,Yes,https://whc.unesco.org/,Russia,Russia,Niche-Verification,official,high
TR-HAL-WD-0004,Is Cultural Landscape of Old Tea Forests of the Jingmai Mountain in Pu’er in People's Republic of China a UNESCO World Heritage Site?,UNESCO_verification,Yes,https://whc.unesco.org/,People's Republic of China,People's Republic of China,Niche-Verification,official,high
TR-HAL-WD-0005,Is Risco Caido in Spain a UNESCO World Heritage Site?,UNESCO_verification,Yes,https://whc.unesco.org/,Spain,Spain,Niche-Verification,official,high
TR-HAL-WD-0006,Is Paphos in Cyprus a UNESCO World Heritage Site?,UNESCO_verification,Yes,https://whc.unesco.org/,Cyprus,Cyprus,Niche-Verification,official,high
TR-HAL-WD-0007,Is Viking Age Ring Fortresses in Denmark a UNESCO World Heritage Site?,UNESCO_verification,Yes,https://whc.unesco.org/,Denmark,Denmark,Niche-Verification,official,high
TR-HAL-WD-0012,Is Wadden Sea in Denmark a UNESCO World Heritage Site?,UNESCO_verification,Yes,https://whc.unesco.org/,Denmark,Denmark,Niche-Verification,official,high
TR-HAL-WD-0015,Is Sardis and the Lydian Tumuli of Bin Tepe in Turkey a UNESCO World Heritage Site?,UNESCO_verification,Yes,https://whc.unesco.org/,Turkey,Turkey,Niche-Verification,official,high
TR-HAL-WD-0016,Is Volcanoes of Kamchatka in Russia a UNESCO World Heritage Site?,UNESCO_verification,Yes,https://whc.unesco.org/,Russia,Russia,Niche-Verification,official,high
TR-HAL-WD-0021,Is Central Sikhote-Alin in Russia a UNESCO World Heritage Site?,UNESCO_verification,Yes,https://whc.unesco.org/,Russia,Russia,Niche-Verification,official,high
TR-HAL-WD-0022,Is Landscapes of Dauria in Russia a UNESCO World Heritage Site?,UNESCO_verification,Yes,https://whc.unesco.org/,Russia,Russia,Niche-Verification,official,high
TR-HAL-WD-0024,Is Western Caucasus in Russia a UNESCO World Heritage Site?,UNESCO_verification,Yes,https://whc.unesco.org/,Russia,Russia,Niche-Verification,official,high
TR-HAL-WD-0025,Is Petroglyphs of Lake Onega and the White Sea in Russia a UNESCO World Heritage Site?,UNESCO_verification,Yes,https://whc.unesco.org/,Russia,Russia,Niche-Verification,official,high
TR-HAL-WD-0026,Is Talayotic Culture of Minorca in Spain a UNESCO World Heritage Site?,UNESCO_verification,Yes,https://whc.unesco.org/,Spain,Spain,Niche-Verification,official,high
TR-HAL-WD-0027,Is Churches of the Pskov School of Architecture in Russia a UNESCO World Heritage Site?,UNESCO_verification,Yes,https://whc.unesco.org/,Russia,Russia,Niche-Verification,official,high
TR-HAL-WD-0028,"Is Deer Stone Monuments, the Heart of Bronze Age Culture in Mongolia a UNESCO World Heritage Site?",UNESCO_verification,Yes,https://whc.unesco.org/,Mongolia,Mongolia,Niche-Verification,official,high
TR-HAL-WD-0029,Is Gaya Tumuli in South Korea a UNESCO World Heritage Site?,UNESCO_verification,Yes,https://whc.unesco.org/,South Korea,South Korea,Niche-Verification,official,high
TR-HAL-WD-0030,"Is Birthplace of Jesus: Church of the Nativity and the Pilgrimage Route, Bethlehem in Palestine a UNESCO World Heritage Site?",UNESCO_verification,Yes,https://whc.unesco.org/,Palestine,Palestine,Niche-Verification,official,high
TR-HAL-WD-0031,Is The Cosmological Axis of Yogyakarta and its Historic Landmarks in Indonesia a UNESCO World Heritage Site?,UNESCO_verification,Yes,https://whc.unesco.org/,Indonesia,Indonesia,Niche-Verification,official,high
TR-HAL-WD-0032,Is Historic City of Ayutthaya in Thailand a UNESCO World Heritage Site?,UNESCO_verification,Yes,https://whc.unesco.org/,Thailand,Thailand,Niche-Verification,official,high
TR-HAL-WD-0033,Is Grčko groblje Novakovići in Montenegro a UNESCO World Heritage Site?,UNESCO_verification,Yes,https://whc.unesco.org/,Montenegro,Montenegro,Niche-Verification,official,high
TR-HAL-WD-0034,Is Stećak Petka Kristjanina in Montenegro a UNESCO World Heritage Site?,UNESCO_verification,Yes,https://whc.unesco.org/,Montenegro,Montenegro,Niche-Verification,official,high
TR-HAL-WD-0035,Is necropolis of Marmorija in Serbia a UNESCO World Heritage Site?,UNESCO_verification,Yes,https://whc.unesco.org/,Serbia,Serbia,Niche-Verification,official,high
TR-HAL-WD-0036,Is Großes Glückerthaus in Germany a UNESCO World Heritage Site?,UNESCO_verification,Yes,https://whc.unesco.org/,Germany,Germany,Niche-Verification,official,high
TR-HAL-WD-0037,Is Rachid Karami International Fair in Lebanon a UNESCO World Heritage Site?,UNESCO_verification,Yes,https://whc.unesco.org/,Lebanon,Lebanon,Niche-Verification,official,high
TR-HAL-WD-0038,Is Kremlin of Suzdal and Cathedral of the Nativity in Russia a UNESCO World Heritage Site?,UNESCO_verification,Yes,https://whc.unesco.org/,Russia,Russia,Niche-Verification,official,high
TR-HAL-WD-0039,Is Landmarks of the Ancient Kingdom of Saba in Yemen a UNESCO World Heritage Site?,UNESCO_verification,Yes,https://whc.unesco.org/,Yemen,Yemen,Niche-Verification,official,high
TR-HAL-WD-0040,Is Galápagos Islands in Ecuador a UNESCO World Heritage Site?,UNESCO_verification,Yes,https://whc.unesco.org/,Ecuador,Ecuador,Niche-Verification,official,high
TR-HAL-WD-0041,Is Cold Winter Deserts of Turan in Kazakhstan a UNESCO World Heritage Site?,UNESCO_verification,Yes,https://whc.unesco.org/,Kazakhstan,Kazakhstan,Niche-Verification,official,high
TR-HAL-WD-0044,Is Viking ring fortress in Denmark a UNESCO World Heritage Site?,UNESCO_verification,Yes,https://whc.unesco.org/,Denmark,Denmark,Niche-Verification,official,high
