id,prompt,task_category,region,country,ground_truth,source_url,source_quality,evidence_tier
TR-NICHE-002,Do US citizens need to register if they stay in Kyrgyzstan for less than 30 days?,Niche-Verification,Central Asia,Kyrgyzstan,No,https://kg.usembassy.gov/registration-for-foreigners/,official,high
TR-NICHE-003,What is the effective date of the new registration rules for foreigners in Kyrgyzstan?,Niche-Verification,Central Asia,Kyrgyzstan,"January 01, 2026",https://kg.usembassy.gov/registration-for-foreigners/,official,high
TR-NICHE-004,What documents are required for a visa application to Kyrgyzstan?,Niche-Verification,Central Asia,Kyrgyzstan,"1 filled out visa application form, 1 passport picture, photocopy of passport",https://caravanistan.com/visa/kyrgyzstan/,general_web,medium
TR-NICHE-005,Are there any changes to the procedure for the stay of foreign citizens in Kyrgyzstan?,Niche-Verification,Central Asia,Kyrgyzstan,"Yes, introduced by Resolution No. 190 on March 24, 2026",https://open.kg/en/news/exclusive/86024-v-kyrgyzstane-izmenen-porjadok-prebyvanija-inostrannyh-grazhdan.html,general_web,medium
TR-NICHE-006,Do citizens of all countries need an e-Visa to visit Kyrgyzstan?,Niche-Verification,Central Asia,Kyrgyzstan,"No, citizens of visa-exempt countries or those who can obtain a visa on arrival do not need an e-Visa",https://en.wikipedia.org/wiki/Visa_policy_of_Kyrgyzstan,open_knowledge,medium
TR-NICHE-007,Can travel visas for Kyrgyzstan be renewed?,Niche-Verification,Central Asia,Kyrgyzstan,Yes,https://www.journalofnomads.com/renew-visa-for-kyrgyzstan/,general_web,medium
TR-NICHE-009,Have the visa-free stay limits in Kyrgyzstan been revised based on nationality?,Niche-Verification,Central Asia,Kyrgyzstan,Yes,https://intermarkrelocation.com/news/immigration/kyrgyzstan-visa-free-stay-shortened/,general_web,medium
TR-NICHE-012,What are the requirements for driving a vehicle in Botswana?,Niche-Verification,Sub-Saharan Africa,Botswana,"Learn the local traffic laws, have the proper paperwork, get any driving permits and insurance you may need",https://wwwnc.cdc.gov/travel/destinations/traveler/none/Botswana,official,high
TR-NICHE-019,What are the consequences of violating rules in Torres del Paine National Park and what is required for trekking permits?,Niche-Verification,South America,,Violations result in fines ranging $100-500 and trekking permits are required,https://www.machupicchu.org/torres-del-paine-national-park-2026-complete-unesco-guide.htm,general_web,medium
TR-NICHE-024,Is a permit required to hike in Torres del Paine National Park and who is the official administrator of the park?,Niche-Verification,South America,,"Yes, an admission permit is required and the official administrator is CONAF",https://torreshike.com/en/faq/general/do-i-need-a-permit-to-hike-in-torres-del-paine,general_web,medium
TR-NICHE-025,What are the operating hours for land border crossings in Jordan on Fridays and Saturdays?,Niche-Verification,Middle East,Jordan,Operating hours are shortened on Fridays and Saturdays,https://jo.usembassy.gov/security-alert-u-s-embassy-amman-jordan-april-2-2026/,official,high
TR-NICHE-026,How many blank pages are required in a passport for entry into Jordan?,Niche-Verification,Middle East,Jordan,One page required for entry stamp,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Jordan.html,official,high
TR-NICHE-027,"Is a tourist visa required for entry into Jordan, and if so, how can it be obtained?",Niche-Verification,Middle East,Jordan,"Yes, available on arrival",https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Jordan.html,official,high
TR-NICHE-029,"What is the policy of Oman regarding dual nationality, and what are the potential consequences for U.S. citizens?",Niche-Verification,Middle East,Oman,"Oman does not recognize dual nationality, and Omani authorities may confiscate your U.S. passport if you have dual Oman/U.S. nationality",https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Oman.html,official,high
TR-NICHE-030,Are there any security risks or restrictions for travel to Bahrain due to recent events in the Middle East?,Niche-Verification,Middle East,,"Yes, there are security risks in Bahrain due to recent attacks on targets in Iran",https://www.government.nl/latest/weblogs/the-work-of-the-ministry-of-foreign-affairs/2026/situation-middle-east-news,official,high
TR-NICHE-031,"What is the current law regarding Jordanian mothers passing their citizenship to their children, and are there any ongoing campaigns to change this law?",Niche-Verification,Middle East,,"Since 2008, a campaign has sought to change the constitution and the nationality law (Law 6-1954) to allow Jordanian mothers to pass their citizenship to their children",https://bti-project.org/en/reports/country-report/JOR,general_web,medium
TR-NICHE-0032,"What is the new visa-free stay limit in Kyrgyzstan for citizens of 55 countries, including the US and UK, and what is the time period within which this limit applies?",Niche-Verification,Central Asia,Kyrgyzstan,"The new visa-free stay limit in Kyrgyzstan for citizens of 55 countries, including the US and UK, is 30 days within each 60-day period.",https://intermarkrelocation.com/news/immigration/kyrgyzstan-visa-free-stay-shortened/,general_web,medium
