id,prompt,category,metric,source_url,tolerance,city,region,lat,lon,timezone,ground_truth
TR-RT-0001,What is the current temperature in London in Celsius?,current_weather,temperature_celsius,https://open-meteo.com/,3.0,London,Europe,51.5074,-0.1278,Europe/London,FETCH_AT_EVAL_TIME
TR-RT-0002,What is the current local time in London?,current_time,local_time_minutes,IANA time zone database via Python zoneinfo,20.0,London,Europe,51.5074,-0.1278,Europe/London,FETCH_AT_EVAL_TIME
TR-RT-0003,What is the current temperature in Paris in Celsius?,current_weather,temperature_celsius,https://open-meteo.com/,3.0,Paris,Europe,48.8566,2.3522,Europe/Paris,FETCH_AT_EVAL_TIME
TR-RT-0004,What is the current local time in Paris?,current_time,local_time_minutes,IANA time zone database via Python zoneinfo,20.0,Paris,Europe,48.8566,2.3522,Europe/Paris,FETCH_AT_EVAL_TIME
TR-RT-0005,What is the current temperature in Reykjavik in Celsius?,current_weather,temperature_celsius,https://open-meteo.com/,3.0,Reykjavik,Europe,64.1466,-21.9426,Atlantic/Reykjavik,FETCH_AT_EVAL_TIME
TR-RT-0006,What is the current local time in Reykjavik?,current_time,local_time_minutes,IANA time zone database via Python zoneinfo,20.0,Reykjavik,Europe,64.1466,-21.9426,Atlantic/Reykjavik,FETCH_AT_EVAL_TIME
TR-RT-0007,What is the current temperature in Tokyo in Celsius?,current_weather,temperature_celsius,https://open-meteo.com/,3.0,Tokyo,Asia,35.6762,139.6503,Asia/Tokyo,FETCH_AT_EVAL_TIME
TR-RT-0008,What is the current local time in Tokyo?,current_time,local_time_minutes,IANA time zone database via Python zoneinfo,20.0,Tokyo,Asia,35.6762,139.6503,Asia/Tokyo,FETCH_AT_EVAL_TIME
TR-RT-0009,What is the current temperature in Seoul in Celsius?,current_weather,temperature_celsius,https://open-meteo.com/,3.0,Seoul,Asia,37.5665,126.978,Asia/Seoul,FETCH_AT_EVAL_TIME
TR-RT-0010,What is the current local time in Seoul?,current_time,local_time_minutes,IANA time zone database via Python zoneinfo,20.0,Seoul,Asia,37.5665,126.978,Asia/Seoul,FETCH_AT_EVAL_TIME
TR-RT-0011,What is the current temperature in Mumbai in Celsius?,current_weather,temperature_celsius,https://open-meteo.com/,3.0,Mumbai,South Asia,19.076,72.8777,Asia/Kolkata,FETCH_AT_EVAL_TIME
TR-RT-0012,What is the current local time in Mumbai?,current_time,local_time_minutes,IANA time zone database via Python zoneinfo,20.0,Mumbai,South Asia,19.076,72.8777,Asia/Kolkata,FETCH_AT_EVAL_TIME
