id,prompt,category
TR-HAL-0001,"What is the name of the largest island in the Azores, Portugal?",destination recommendations
TR-HAL-0002,In what year was the ancient city of Petra in Jordan designated a UNESCO World Heritage Site?,destination recommendations
TR-HAL-0003,"What is the average temperature in January in Ushuaia, Argentina, the southernmost city in the world?",destination recommendations
TR-HAL-0004,"Which river runs through the city of Luang Prabang, a UNESCO World Heritage Site in Laos?",destination recommendations
TR-HAL-0005,What is the name of the highest peak in the Atlas Mountains in Morocco?,destination recommendations
TR-HAL-0006,"In what year was the city of Gyeongju, South Korea, designated a UNESCO World Heritage Site?",destination recommendations
TR-HAL-0007,"What is the name of the largest lake in the African Great Lakes region, bordering Tanzania, Uganda, and Kenya?",destination recommendations
TR-HAL-0008,Which city in Colombia is known as the 'City of Eternal Spring' due to its year-round pleasant weather?,destination recommendations
TR-HAL-0009,What is the name of the famous waterfall on the border of Zambia and Zimbabwe in southern Africa?,destination recommendations
TR-HAL-0010,In what year was the historic city of Hoi An in Vietnam designated a UNESCO World Heritage Site?,destination recommendations
TR-HAL-0011,What is the name of the strait that separates the continents of Asia and Africa?,destination recommendations
TR-HAL-0012,Which city in New Zealand is known for its geothermal wonders and is situated on the shores of Lake Rotorua?,destination recommendations
TR-HAL-0013,What is the name of the mountain range that runs along the border between France and Spain?,destination recommendations
TR-HAL-0014,In what year was the ancient city of Angkor Wat in Cambodia designated a UNESCO World Heritage Site?,destination recommendations
TR-HAL-0015,"What is the name of the largest desert in South America, covering parts of Argentina, Chile, and Peru?",destination recommendations
TR-HAL-0016,Which city in India is known as the 'Pink City' due to its distinctive architecture?,destination recommendations
TR-HAL-0017,"What is the name of the famous prehistoric monument located in Wiltshire, England?",destination recommendations
TR-HAL-0018,In what year was the city of Guanajuato in Mexico designated a UNESCO World Heritage Site?,destination recommendations
TR-HAL-0019,"What is the name of the longest river in Southeast Asia, flowing through China, Laos, Thailand, and Cambodia?",destination recommendations
TR-HAL-0020,Which city in Ethiopia is known for its rock-hewn churches and is a UNESCO World Heritage Site?,destination recommendations
TR-HAL-0021,"What is the name of the largest coral atoll in the world, located in the Pacific Ocean?",destination recommendations
TR-HAL-0022,In what year was the ancient city of Pompeii in Italy designated a UNESCO World Heritage Site?,destination recommendations
TR-HAL-0023,"What is the name of the mountain peak that is the highest point in North America, located in Alaska?",destination recommendations
TR-HAL-0024,Which city in Brazil is known for its Carnival celebrations and is situated on the shores of Guanabara Bay?,destination recommendations
TR-HAL-0025,"What is the name of the famous waterfall in Iceland, known for its stunning natural beauty?",destination recommendations
TR-HAL-0026,In what year was the historic city of Plovdiv in Bulgaria designated a UNESCO World Heritage Site?,destination recommendations
TR-HAL-0027,"What is the name of the largest island in the Mediterranean Sea, belonging to Italy?",destination recommendations
TR-HAL-0028,Which city in China is known for its ancient Terracotta Army and is a UNESCO World Heritage Site?,destination recommendations
TR-HAL-0029,"What is the name of the longest river in South America, flowing through Brazil, Peru, and Colombia?",destination recommendations
TR-HAL-0030,In what year was the city of Mostar in Bosnia and Herzegovina designated a UNESCO World Heritage Site?,destination recommendations
TR-HAL-0031,"What is the name of the famous monastery located in the Himalayas, on the border between India and Nepal?",destination recommendations
TR-HAL-0032,Which city in Morocco is known for its blue-painted buildings and is situated in the Rif Mountains?,destination recommendations
TR-HAL-0033,"What is the name of the largest city in Greenland, situated on the west coast?",destination recommendations
TR-HAL-0034,In what year was the ancient city of Palmyra in Syria designated a UNESCO World Heritage Site?,destination recommendations
TR-HAL-0035,"What is the name of the famous lake in the Swiss Alps, known for its picturesque scenery?",destination recommendations
TR-HAL-0036,Which city in Turkey is known for its ancient ruins of Ephesus and is a UNESCO World Heritage Site?,destination recommendations
TR-HAL-0037,"What is the name of the highest peak in the Andes mountain range, located on the border between Argentina and Chile?",destination recommendations
TR-HAL-0038,In what year was the city of Valparaíso in Chile designated a UNESCO World Heritage Site?,destination recommendations
TR-HAL-0039,"What is the name of the largest city in the Canadian Arctic, situated on the shores of Baffin Island?",destination recommendations
TR-HAL-0040,Which city in South Africa is known for its vibrant culture and is situated on the shores of Table Bay?,destination recommendations
TR-HAL-0041,"What is the name of the famous river in Australia, known for its scenic gorge and is a popular destination for hiking and camping?",destination recommendations
TR-HAL-0042,In what year was the historic city of Vigan in the Philippines designated a UNESCO World Heritage Site?,destination recommendations
TR-HAL-0043,"What is the name of the largest island in the Caribbean Sea, belonging to Cuba?",destination recommendations
TR-HAL-0044,Which city in Russia is known for its ancient architecture and is situated on the shores of Lake Onega?,destination recommendations
TR-HAL-0045,"What is the height of the Christ the Redeemer statue in Rio de Janeiro, Brazil?",attraction descriptions
TR-HAL-0046,In what year was the renovation of the Acropolis of Athens in Greece completed?,attraction descriptions
TR-HAL-0047,"What is the name of the largest island in the Galapagos Islands, Ecuador?",attraction descriptions
TR-HAL-0048,What year did the construction of the Great Wall of China's Qinhuangdao section begin?,attraction descriptions
TR-HAL-0049,"What is the name of the famous waterfall in Zambia/Zimbabwe, Africa?",attraction descriptions
TR-HAL-0050,"What is the height of the Eiffel Tower in Paris, France?",attraction descriptions
TR-HAL-0051,"What is the name of the ancient city located in Jordan, known for its rock-cut architecture?",attraction descriptions
TR-HAL-0052,What year was the Temple of Angkor Wat in Cambodia built?,attraction descriptions
TR-HAL-0053,"What is the name of the famous square in Marrakech, Morocco?",attraction descriptions
TR-HAL-0054,In what year did the construction of the Sydney Opera House in Australia begin?,attraction descriptions
TR-HAL-0055,What is the name of the longest river in South America?,attraction descriptions
TR-HAL-0056,What is the name of the famous prehistoric monument located in England?,attraction descriptions
TR-HAL-0057,"What year was the Golden Temple in Amritsar, India, completed?",attraction descriptions
TR-HAL-0058,What is the name of the highest mountain peak in North America?,attraction descriptions
TR-HAL-0059,"What is the name of the famous museum in Florence, Italy, known for its art collection?",attraction descriptions
TR-HAL-0060,"What year was the construction of the Burj Khalifa in Dubai, UAE, completed?",attraction descriptions
TR-HAL-0061,"What is the name of the ancient city located in Turkey, known for its hot springs?",attraction descriptions
TR-HAL-0062,"What is the name of the famous beach in Bali, Indonesia, known for its white sand?",attraction descriptions
TR-HAL-0063,"What year was the construction of the Taj Mahal in Agra, India, completed?",attraction descriptions
TR-HAL-0064,"What is the name of the famous canyon in Arizona, USA?",attraction descriptions
